Time Initiated,OriginalTransactionID,RefundTransactionID,Amount,Status
2021-10-26 19:23:25 UTC,0q0eaq8g,q9gxrcht,10.0,Transaction has already been fully refunded.
2021-10-25 20:08:23 UTC,24f5r607,p7dsrsay,10.0,Transaction has already been fully refunded.
2021-10-26 19:24:46 UTC,2a8afdpe,4x0resbj,10.0,Transaction has already been fully refunded.
2021-10-26 19:27:04 UTC,2g1f6ncn,k2sm8xyq,10.0,Transaction has already been fully refunded.
2021-10-26 19:28:29 UTC,35h5aphf,6xrbvtbp,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:26 UTC,4j5ebpf5,nbr0z6s7,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:27 UTC,6192j2ty,rj7s8kn3,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:28 UTC,6tx0me1x,gj0ch3fd,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:29 UTC,75mvpema,2ydd94ry,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:29 UTC,83d1q3xe,p5bz1j06,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:30 UTC,a5h0w4zy,9bcxvygp,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:31 UTC,aafq6xw4,4hn9dv6w,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:32 UTC,ah3aamcc,pyzx3x75,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:33 UTC,b43n9933,aymt0mym,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:33 UTC,b9wt0gsa,5b97g6dv,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:34 UTC,c3gr2w09,j588nsxb,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:35 UTC,cqbhdzh1,etm8e2za,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:35 UTC,e1gf9k0m,20n78fft,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:36 UTC,e4t8ve8r,re3ha9jy,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:37 UTC,ez8na89r,60rxm7jn,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:40 UTC,f5w8dyt0,ptvn5k50,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:44 UTC,fzg6ga0z,mdztyhg3,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:44 UTC,ghp32fxn,0w9e43pe,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:45 UTC,hc4fh9yn,g349grtv,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:46 UTC,jv83qpae,npfw17bm,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:47 UTC,kayn4fs1,6fn0mj77,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:48 UTC,kxz034fr,jg03qtfr,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:48 UTC,m3r4tc5z,afrq0aa2,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:49 UTC,nq00z2kx,9p4rxz33,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:50 UTC,pzg21rfe,rq6fkch9,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:51 UTC,q4erchbm,3x01p8w3,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:51 UTC,q63n5ezp,dgfajffq,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:52 UTC,qs4043pd,4pkzrm32,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:53 UTC,r3vv648t,fxb4sh4m,10.0,Transaction has already been fully refunded.
2021-10-26 19:38:54 UTC,0z93stmw,jser9rw0,10.0,Transaction has already been fully refunded.
